Country/Region,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020
Mainland China,547,639,916,1399,2062,2863,5494,6070,8124,9783,11871,16607,19693,23680,27409,30553,34075,36778,39790,42306,44327,44699,59832,66292,68347,70446,72364,74139,74546,74999
Mainland Recovered,28,30,36,39,49,58,101,120,135,214,275,463,614,843,1115,1476,1998,2595,3218,3917,4635,5079,6213,7973,9294,10748,12455,14199,15952,18002
Others,7,13,23,33,53,60,80,92,106,133,155,165,173,196,208,242,293,319,336,430,448,495,510,567,657,751,866,968,1064,1096
